order_id,customer_id,order_date,product_category,gross_amount,discount_pct,net_amount,order_status
O000061,C00012,2026-06-03,Home,2302.42,0.05,2187.3,Cancelled
O000062,C00012,2026-06-30,Sports,768.25,0.0,768.25,Completed
O000063,C00013,2026-05-12,Electronics,8070.83,0.0,8070.83,Cancelled
O000064,C00013,2026-04-15,Sports,2404.53,0.05,2284.3,Returned
O000065,C00013,2026-05-12,Sports,1286.02,0.0,1286.02,Completed
O000066,C00013,2026-05-03,Beauty,1918.33,0.0,1918.33,Completed
O000067,C00013,2026-06-29,Grocery,843.96,0.1,759.56,Completed
O000068,C00013,2026-06-15,Electronics,4423.36,0.0,4423.36,Completed
O000069,C00014,2026-05-10,Electronics,9563.61,0.05,9085.43,Completed
O000070,C00014,2026-05-10,Grocery,502.72,0.1,452.45,Completed
O000071,C00015,2025-11-11,Beauty,1876.58,0.05,1782.75,Completed
O000072,C00016,2026-02-17,Beauty,1345.84,0.1,1211.26,Completed
O000073,C00016,2026-05-11,Home,2924.55,0.05,2778.32,Completed
O000074,C00016,2026-05-16,Electronics,6697.86,0.05,6362.97,Completed
O000075,C00016,2026-03-28,Grocery,1236.78,0.15,1051.26,Returned
O000076,C00016,2026-03-06,Grocery,656.37,0.0,656.37,Completed
O000077,C00016,2026-02-16,Beauty,965.68,0.0,965.68,Completed
O000078,C00016,2026-05-29,Grocery,1168.22,0.15,992.99,Completed
O000079,C00017,2025-11-16,Home,4220.86,0.0,4220.86,Completed
O000080,C00017,2026-02-14,Home,1402.4,0.0,1402.4,Completed
O000081,C00017,2026-05-10,Grocery,1413.12,0.0,1413.12,Completed
O000082,C00018,2025-10-04,Grocery,393.51,0.2,314.81,Cancelled
O000083,C00018,2026-03-18,Sports,1809.92,0.0,1809.92,Completed
O000084,C00018,2025-10-13,Electronics,4567.78,0.15,3882.61,Completed
O000085,C00018,2026-04-07,Beauty,1275.49,0.2,1020.39,Completed
O000086,C00018,2026-02-03,Electronics,4991.89,0.05,4742.3,Completed
O000087,C00018,2026-02-04,Grocery,793.31,0.0,793.31,Completed
O000088,C00018,2025-11-13,Electronics,6108.37,0.05,5802.95,Returned
O000089,C00018,2026-06-09,Electronics,9293.56,0.05,8828.88,Completed
O000090,C00018,2025-12-07,Home,2788.57,0.1,2509.71,Completed
O000091,C00018,2026-06-04,Grocery,1329.69,0.0,1329.69,Completed
O000092,C00018,2025-12-27,Beauty,724.39,0.05,688.17,Cancelled
O000093,C00019,2026-05-19,Grocery,669.02,0.1,602.12,Completed
O000094,C00019,2026-05-06,Home,2143.59,0.05,2036.41,Completed
O000095,C00019,2026-05-21,Home,2539.69,0.1,2285.72,Completed
O000096,C00019,2026-06-12,Beauty,1907.89,0.0,1907.89,Completed
O000097,C00019,2026-05-03,Beauty,826.1,0.05,784.8,Completed
O000098,C00019,2026-05-08,Grocery,1616.29,0.05,1535.48,Completed
O000099,C00019,2026-05-09,Electronics,10293.29,0.0,10293.29,Completed
O000100,C00019,2026-04-13,Home,2396.76,0.05,2276.92,Completed
O000101,C00019,2026-03-21,Beauty,1713.55,0.15,1456.52,Completed
O000102,C00020,2025-02-06,Grocery,485.5,0.1,436.95,Completed
O000103,C00020,2025-09-08,Grocery,897.76,0.05,852.87,Completed
O000104,C00020,2025-08-29,Electronics,6905.35,0.15,5869.55,Completed
O000105,C00020,2025-03-29,Electronics,10478.01,0.05,9954.11,Completed
O000106,C00020,2025-09-07,Electronics,5611.08,0.0,5611.08,Completed
O000107,C00021,2026-01-22,Beauty,1520.58,0.05,1444.55,Completed
O000108,C00021,2026-02-01,Grocery,647.28,0.0,647.28,Completed
O000109,C00021,2026-03-15,Beauty,1752.02,0.1,1576.82,Completed
O000110,C00021,2026-05-18,Home,2645.41,0.05,2513.14,Completed
O000111,C00021,2026-06-01,Home,3439.26,0.0,3439.26,Cancelled
O000112,C00021,2026-06-09,Grocery,386.13,0.0,386.13,Completed
O000113,C00021,2026-05-15,Home,3606.33,0.1,3245.7,Completed
O000114,C00021,2026-05-15,Sports,1458.76,0.1,1312.88,Returned
O000115,C00022,2025-06-07,Electronics,9846.6,0.1,8861.94,Completed
O000116,C00023,2025-04-13,Sports,1661.39,0.0,1661.39,Completed
O000117,C00023,2025-08-23,Sports,1221.01,0.0,1221.01,Completed
O000118,C00024,2026-01-13,Sports,1239.58,0.1,1115.62,Completed
O000119,C00024,2026-06-25,Electronics,9424.25,0.15,8010.61,Completed
O000120,C00024,2026-05-27,Electronics,5076.8,0.15,4315.28,Completed
O000121,C00024,2025-07-18,Sports,2128.92,0.15,1809.58,Returned
O000122,C00024,2026-06-24,Beauty,2162.59,0.0,2162.59,Returned
O000123,C00025,2025-05-17,Home,2923.88,0.05,2777.69,Completed
O000124,C00025,2025-08-10,Home,1645.94,0.0,1645.94,Cancelled
O000125,C00025,2026-04-30,Home,2836.87,0.15,2411.34,Completed
O000126,C00025,2026-04-03,Home,2531.97,0.15,2152.17,Completed
O000127,C00025,2025-11-07,Sports,634.59,0.05,602.86,Completed
O000128,C00026,2026-02-03,Electronics,11305.6,0.15,9609.76,Completed
O000129,C00026,2026-03-25,Grocery,650.87,0.1,585.78,Completed
O000130,C00026,2025-12-27,Electronics,6577.37,0.15,5590.76,Completed
O000131,C00026,2026-05-17,Grocery,900.51,0.05,855.48,Completed
O000132,C00026,2025-12-05,Electronics,7443.61,0.0,7443.61,Completed
O000133,C00026,2026-06-12,Home,1949.1,0.05,1851.64,Completed
O000134,C00027,2026-05-12,Sports,2275.32,0.0,2275.32,Completed
O000135,C00027,2026-06-22,Sports,2501.67,0.0,2501.67,Completed
O000136,C00028,2025-06-23,Sports,1691.14,0.15,1437.47,Completed
O000137,C00028,2026-06-11,Electronics,6045.04,0.0,6045.04,Completed
O000138,C00028,2025-05-29,Sports,1407.54,0.1,1266.79,Completed
O000139,C00028,2025-03-07,Sports,3247.72,0.15,2760.56,Completed
O000140,C00028,2025-07-19,Sports,2220.45,0.2,1776.36,Completed
O000141,C00028,2025-07-30,Sports,3030.47,0.05,2878.95,Completed
O000142,C00028,2026-02-25,Grocery,796.76,0.05,756.92,Completed
O000143,C00029,2026-03-14,Sports,1995.48,0.15,1696.16,Completed
O000144,C00029,2025-06-28,Home,2408.12,0.0,2408.12,Completed
O000145,C00029,2025-09-08,Home,3276.46,0.05,3112.64,Completed
O000146,C00029,2025-05-09,Grocery,285.95,0.05,271.65,Cancelled
O000147,C00029,2026-04-21,Grocery,460.43,0.0,460.43,Completed
O000148,C00029,2025-05-11,Beauty,1053.12,0.1,947.81,Completed
O000149,C00029,2025-05-09,Electronics,9747.12,0.0,9747.12,Completed
O000150,C00029,2026-02-03,Sports,1877.04,0.0,1877.04,Completed
O000151,C00030,2025-11-27,Grocery,603.99,0.15,513.39,Completed
O000152,C00030,2025-06-03,Electronics,9133.43,0.0,9133.43,Completed
O000153,C00030,2025-11-30,Electronics,8047.49,0.05,7645.12,Completed
O000154,C00030,2026-05-24,Home,2605.13,0.1,2344.62,Completed
O000155,C00031,2025-08-15,Grocery,1085.17,0.05,1030.91,Completed
O000156,C00031,2025-08-14,Home,3407.34,0.0,3407.34,Completed
O000157,C00031,2026-02-02,Electronics,9573.19,0.05,9094.53,Completed
O000158,C00031,2026-04-28,Home,2159.39,0.0,2159.39,Completed
O000159,C00032,2026-04-12,Grocery,993.24,0.0,993.24,Completed
O000160,C00032,2025-07-10,Grocery,1023.78,0.05,972.59,Completed
O000161,C00032,2025-07-31,Sports,2284.91,0.05,2170.66,Completed
O000162,C00032,2026-05-22,Grocery,1094.28,0.0,1094.28,Completed
O000163,C00032,2026-04-05,Grocery,686.69,0.15,583.69,Completed
O000164,C00032,2025-11-28,Beauty,1603.62,0.0,1603.62,Completed
O000165,C00033,2026-01-12,Beauty,1138.22,0.15,967.49,Completed
O000166,C00033,2026-01-30,Beauty,1473.95,0.05,1400.25,Completed
O000167,C00033,2026-04-20,Home,2355.95,0.0,2355.95,Completed
O000168,C00033,2026-03-02,Sports,1820.09,0.0,1820.09,Completed
O000169,C00033,2026-03-10,Electronics,7828.9,0.0,7828.9,Completed
O000170,C00034,2026-01-14,Sports,2672.68,0.0,2672.68,Completed
O000171,C00034,2026-06-20,Grocery,1136.12,0.1,1022.51,Completed
O000172,C00034,2026-02-06,Electronics,6104.27,0.15,5188.63,Completed
O000173,C00034,2026-05-29,Home,1807.23,0.0,1807.23,Completed
O000174,C00034,2026-05-21,Beauty,573.26,0.0,573.26,Completed
O000175,C00034,2026-02-14,Beauty,1992.38,0.15,1693.52,Completed
O000176,C00034,2026-01-29,Home,2151.74,0.05,2044.15,Completed
O000177,C00034,2026-04-16,Beauty,1586.67,0.1,1428.0,Completed
O000178,C00034,2026-02-21,Sports,1857.39,0.05,1764.52,Completed
O000179,C00035,2026-04-10,Beauty,1606.27,0.1,1445.64,Completed
O000180,C00035,2026-05-15,Grocery,1215.52,0.15,1033.19,Returned
O000181,C00035,2025-07-10,Grocery,930.84,0.1,837.76,Completed
O000182,C00035,2025-12-06,Electronics,4454.75,0.1,4009.28,Completed
O000183,C00035,2025-09-12,Beauty,1719.88,0.0,1719.88,Completed
O000184,C00035,2025-09-03,Electronics,8506.81,0.0,8506.81,Completed
O000185,C00035,2026-04-15,Home,2749.96,0.05,2612.46,Completed
O000186,C00035,2025-11-22,Beauty,1279.03,0.1,1151.13,Completed
O000187,C00035,2026-05-11,Home,2440.03,0.15,2074.03,Completed
O000188,C00036,2026-01-09,Home,2530.12,0.05,2403.61,Completed
O000189,C00036,2025-10-20,Grocery,503.39,0.05,478.22,Completed
O000190,C00036,2026-06-07,Beauty,1785.64,0.0,1785.64,Completed
O000191,C00036,2025-03-16,Electronics,9978.31,0.1,8980.48,Completed
O000192,C00036,2026-04-01,Beauty,1579.03,0.05,1500.08,Completed
O000193,C00036,2025-03-09,Electronics,7590.73,0.05,7211.19,Completed
O000194,C00036,2025-12-30,Home,2731.64,0.05,2595.06,Cancelled
O000195,C00036,2025-10-18,Home,3584.75,0.15,3047.04,Completed
O000196,C00036,2026-04-20,Grocery,776.46,0.0,776.46,Completed
O000197,C00037,2026-05-15,Grocery,1334.22,0.05,1267.51,Completed
O000198,C00037,2026-01-28,Electronics,6763.5,0.1,6087.15,Completed
O000199,C00037,2026-02-14,Home,3081.04,0.1,2772.94,Completed
O000200,C00037,2026-06-14,Electronics,6165.11,0.1,5548.6,Completed
O000201,C00037,2026-04-30,Grocery,960.67,0.05,912.64,Completed
O000202,C00037,2026-06-16,Home,5144.27,0.0,5144.27,Completed
O000203,C00037,2026-05-16,Home,2687.49,0.05,2553.12,Completed
O000204,C00037,2026-02-05,Beauty,1677.72,0.0,1677.72,Completed
O000205,C00038,2026-04-19,Electronics,6107.95,0.0,6107.95,Completed
O000206,C00038,2026-06-27,Beauty,733.57,0.1,660.21,Completed
O000207,C00038,2026-03-30,Home,2494.88,0.0,2494.88,Completed
O000208,C00038,2026-05-28,Electronics,9293.25,0.2,7434.6,Completed
O000209,C00039,2025-12-28,Grocery,725.03,0.05,688.78,Returned
O000210,C00040,2026-03-07,Grocery,906.89,0.05,861.55,Completed
O000211,C00040,2026-06-02,Home,377.87,0.05,358.98,Completed
O000212,C00040,2026-01-22,Home,1157.72,0.0,1157.72,Completed
O000213,C00040,2026-06-15,Home,3281.24,0.0,3281.24,Returned
O000214,C00040,2026-03-08,Electronics,8749.19,0.15,7436.81,Completed
O000215,C00041,2025-07-18,Beauty,1513.92,0.05,1438.22,Completed
O000216,C00042,2026-06-19,Sports,2894.15,0.05,2749.44,Completed
O000217,C00042,2026-06-24,Home,2785.61,0.0,2785.61,Completed
O000218,C00042,2026-02-07,Home,1034.53,0.15,879.35,Completed
O000219,C00042,2026-06-20,Electronics,5995.78,0.15,5096.41,Completed
O000220,C00042,2026-03-08,Electronics,7150.39,0.15,6077.83,Completed
O000221,C00042,2026-03-31,Home,2926.87,0.15,2487.84,Completed
O000222,C00042,2026-01-21,Sports,671.04,0.05,637.49,Completed
O000223,C00043,2025-12-07,Beauty,1389.93,0.0,1389.93,Completed
O000224,C00043,2025-10-05,Home,3083.4,0.05,2929.23,Completed
O000225,C00043,2025-06-23,Home,3397.34,0.1,3057.61,Returned
O000226,C00043,2026-01-01,Beauty,637.87,0.15,542.19,Completed
O000227,C00043,2025-10-31,Electronics,7260.85,0.05,6897.81,Completed
O000228,C00043,2025-10-31,Beauty,2124.26,0.0,2124.26,Completed
O000229,C00044,2026-04-11,Grocery,1201.23,0.2,960.98,Completed
O000230,C00044,2026-02-08,Grocery,1632.27,0.0,1632.27,Completed
O000231,C00044,2026-01-21,Electronics,2357.77,0.15,2004.1,Completed
O000232,C00045,2026-04-11,Beauty,1054.17,0.0,1054.17,Completed
O000233,C00045,2026-04-19,Grocery,658.44,0.15,559.67,Completed
O000234,C00045,2026-04-30,Electronics,6654.86,0.1,5989.37,Completed
O000235,C00046,2025-09-18,Grocery,748.6,0.1,673.74,Completed
O000236,C00046,2026-03-04,Beauty,2644.3,0.0,2644.3,Completed
O000237,C00046,2026-01-01,Sports,2096.68,0.05,1991.85,Completed
O000238,C00046,2026-05-31,Grocery,1063.6,0.1,957.24,Completed
O000239,C00046,2025-09-22,Sports,1136.94,0.2,909.55,Completed
O000240,C00046,2026-05-16,Home,2372.57,0.05,2253.94,Completed
O000241,C00046,2025-12-02,Electronics,8067.85,0.0,8067.85,Completed
O000242,C00047,2026-03-16,Sports,1673.6,0.0,1673.6,Completed
O000243,C00048,2025-01-17,Grocery,1083.54,0.1,975.19,Cancelled
O000244,C00048,2025-08-05,Beauty,1179.17,0.0,1179.17,Completed
O000245,C00048,2026-04-02,Electronics,7938.08,0.0,7938.08,Completed
O000246,C00048,2025-12-20,Grocery,703.83,0.2,563.06,Completed
O000247,C00048,2025-12-03,Electronics,5533.35,0.15,4703.35,Completed
O000248,C00048,2025-11-19,Grocery,1233.28,0.15,1048.29,Returned
O000249,C00048,2025-11-28,Sports,2814.51,0.15,2392.33,Completed
O000250,C00048,2025-12-16,Sports,1293.96,0.1,1164.56,Completed
O000251,C00049,2026-05-20,Beauty,827.85,0.05,786.46,Completed
O000252,C00049,2026-04-13,Home,2808.96,0.05,2668.51,Completed
O000253,C00049,2026-01-11,Sports,1521.3,0.0,1521.3,Completed
O000254,C00049,2026-05-12,Sports,3281.21,0.2,2624.97,Completed
O000255,C00049,2026-05-15,Home,1827.8,0.05,1736.41,Completed
O000256,C00050,2026-02-15,Grocery,725.59,0.0,725.59,Returned
O000257,C00050,2025-09-07,Sports,2368.37,0.15,2013.11,Completed
O000258,C00050,2026-01-11,Electronics,5484.62,0.05,5210.39,Completed
O000259,C00050,2025-09-08,Beauty,1219.22,0.1,1097.3,Completed
O000260,C00050,2025-07-22,Sports,2364.63,0.05,2246.4,Completed
O000261,C00050,2026-05-13,Grocery,1075.15,0.05,1021.39,Completed
O000262,C00051,2026-04-02,Beauty,1110.27,0.15,943.73,Completed
O000263,C00051,2026-01-20,Sports,2757.75,0.0,2757.75,Completed
O000264,C00051,2026-01-08,Home,2859.93,0.1,2573.94,Completed
O000265,C00051,2026-02-12,Sports,1549.87,0.05,1472.38,Completed
O000266,C00051,2026-06-07,Home,3429.53,0.1,3086.58,Completed
O000267,C00051,2026-04-29,Electronics,5576.35,0.05,5297.53,Completed
O000268,C00051,2025-10-19,Grocery,150.0,0.0,150.0,Completed
O000269,C00051,2026-05-01,Grocery,1067.42,0.1,960.68,Completed
O000270,C00051,2025-11-14,Electronics,10674.22,0.0,10674.22,Completed
O000271,C00051,2026-06-15,Home,4968.14,0.0,4968.14,Returned
O000272,C00052,2025-11-15,Home,3183.81,0.15,2706.24,Completed
O000273,C00052,2025-07-24,Home,3659.8,0.15,3110.83,Completed
O000274,C00052,2025-01-27,Electronics,6052.32,0.15,5144.47,Completed
O000275,C00052,2025-09-09,Sports,1891.3,0.0,1891.3,Completed
O000276,C00052,2025-03-17,Sports,2828.14,0.05,2686.73,Completed
O000277,C00053,2026-03-10,Grocery,785.72,0.15,667.86,Completed
O000278,C00053,2025-07-28,Sports,1531.04,0.0,1531.04,Completed
O000279,C00053,2026-05-31,Sports,2477.99,0.0,2477.99,Completed
O000280,C00053,2025-09-16,Home,3748.74,0.05,3561.3,Completed
O000281,C00053,2025-01-15,Electronics,7670.88,0.0,7670.88,Completed
O000282,C00053,2026-03-21,Home,2430.7,0.0,2430.7,Completed
O000283,C00053,2025-07-09,Grocery,1092.1,0.0,1092.1,Completed
O000284,C00053,2026-04-30,Electronics,1768.83,0.0,1768.83,Completed
O000285,C00053,2025-09-22,Electronics,7130.16,0.1,6417.14,Completed
O000286,C00053,2026-04-22,Home,4130.19,0.05,3923.68,Completed
O000287,C00053,2026-04-30,Grocery,1088.47,0.1,979.62,Completed
O000288,C00054,2026-05-20,Grocery,356.65,0.1,320.98,Completed
O000289,C00054,2026-04-19,Sports,2001.88,0.0,2001.88,Completed
O000290,C00054,2026-05-27,Grocery,1240.87,0.0,1240.87,Completed
O000291,C00054,2026-05-03,Grocery,814.19,0.05,773.48,Completed
O000292,C00054,2026-05-06,Home,4009.05,0.0,4009.05,Completed
O000293,C00054,2026-06-13,Sports,1037.27,0.15,881.68,Completed
O000294,C00054,2026-05-06,Beauty,1291.94,0.0,1291.94,Completed
O000295,C00054,2026-06-14,Home,3862.51,0.05,3669.38,Cancelled
O000296,C00055,2026-03-27,Beauty,1503.05,0.05,1427.9,Completed
O000297,C00055,2026-06-01,Grocery,1286.02,0.05,1221.72,Cancelled
O000298,C00055,2026-01-08,Home,2620.26,0.0,2620.26,Completed
O000299,C00055,2025-09-22,Sports,1971.27,0.0,1971.27,Completed
O000300,C00056,2025-04-30,Beauty,1252.57,0.05,1189.94,Completed
O000301,C00056,2025-07-20,Beauty,1238.55,0.2,990.84,Completed
O000302,C00056,2025-09-09,Beauty,2220.68,0.05,2109.65,Completed
O000303,C00056,2026-06-22,Grocery,270.35,0.1,243.32,Completed
O000304,C00056,2025-05-02,Home,2833.35,0.15,2408.35,Completed
O000305,C00056,2025-06-07,Home,2964.22,0.15,2519.59,Completed
O000306,C00056,2025-10-04,Home,3939.01,0.05,3742.06,Completed
O000307,C00056,2026-03-18,Home,1029.1,0.2,823.28,Completed
O000308,C00057,2026-05-04,Sports,1988.37,0.0,1988.37,Completed
O000309,C00057,2026-05-26,Beauty,212.17,0.1,190.95,Completed
O000310,C00058,2026-02-21,Sports,1203.08,0.0,1203.08,Completed
O000311,C00058,2025-12-18,Electronics,4006.1,0.0,4006.1,Returned
O000312,C00058,2025-09-02,Sports,2147.74,0.15,1825.58,Completed
O000313,C00058,2025-12-05,Grocery,1710.18,0.2,1368.14,Cancelled
O000314,C00059,2026-05-19,Electronics,1382.54,0.05,1313.41,Returned
O000315,C00059,2026-06-29,Grocery,907.81,0.15,771.64,Returned
O000316,C00059,2026-02-27,Sports,1519.1,0.0,1519.1,Completed
O000317,C00059,2025-11-23,Beauty,871.67,0.2,697.34,Returned
O000318,C00060,2025-10-29,Sports,2490.36,0.15,2116.81,Completed
O000319,C00060,2025-12-30,Grocery,480.83,0.05,456.79,Completed
O000320,C00061,2026-02-04,Sports,522.96,0.0,522.96,Completed
O000321,C00061,2026-02-04,Beauty,1623.69,0.1,1461.32,Completed
O000322,C00061,2026-05-26,Sports,2007.07,0.15,1706.01,Cancelled
O000323,C00061,2025-10-29,Sports,2247.94,0.0,2247.94,Completed
O000324,C00062,2026-03-23,Sports,1574.4,0.1,1416.96,Completed
O000325,C00062,2026-06-30,Home,2598.82,0.0,2598.82,Completed
O000326,C00062,2026-04-25,Home,3896.18,0.1,3506.56,Completed
O000327,C00062,2026-06-04,Grocery,676.53,0.0,676.53,Completed
O000328,C00063,2025-12-12,Sports,2696.34,0.05,2561.52,Returned
O000329,C00063,2026-05-06,Grocery,844.06,0.05,801.86,Returned
O000330,C00063,2026-05-24,Electronics,7992.15,0.15,6793.33,Completed
O000331,C00063,2025-12-27,Sports,1606.18,0.0,1606.18,Completed
O000332,C00063,2026-01-09,Sports,834.04,0.0,834.04,Completed
O000333,C00064,2025-08-10,Electronics,8065.05,0.15,6855.29,Completed
O000334,C00065,2026-04-16,Sports,1728.0,0.0,1728.0,Completed
O000335,C00065,2026-04-24,Home,3010.92,0.05,2860.37,Returned
O000336,C00065,2026-05-11,Beauty,1775.61,0.0,1775.61,Completed
O000337,C00065,2026-04-26,Sports,3739.41,0.0,3739.41,Completed
O000338,C00066,2026-01-16,Sports,3077.78,0.0,3077.78,Returned
O000339,C00066,2026-01-03,Electronics,1997.31,0.1,1797.58,Completed
O000340,C00066,2026-04-24,Electronics,5888.22,0.0,5888.22,Completed
O000341,C00066,2026-05-30,Electronics,7385.75,0.0,7385.75,Completed
O000342,C00066,2026-02-22,Home,3609.72,0.1,3248.75,Completed
O000343,C00067,2026-01-25,Electronics,6082.99,0.15,5170.54,Completed
O000344,C00067,2026-04-02,Electronics,6454.97,0.05,6132.22,Completed
O000345,C00067,2026-03-20,Electronics,6688.31,0.05,6353.89,Completed
O000346,C00067,2026-06-28,Home,2836.05,0.2,2268.84,Completed
O000347,C00068,2025-10-27,Electronics,7480.21,0.0,7480.21,Completed
O000348,C00068,2026-05-31,Home,1549.83,0.05,1472.34,Completed
O000349,C00068,2025-11-16,Home,3489.08,0.1,3140.17,Completed
O000350,C00068,2026-03-16,Electronics,7713.05,0.0,7713.05,Completed
O000351,C00068,2026-05-01,Home,2326.06,0.05,2209.76,Completed
O000352,C00069,2026-03-25,Beauty,1812.47,0.15,1540.6,Completed
O000353,C00070,2026-05-11,Home,3232.8,0.1,2909.52,Completed
O000354,C00070,2026-03-07,Home,2390.75,0.05,2271.21,Completed
O000355,C00070,2026-04-26,Electronics,4979.99,0.15,4232.99,Completed
O000356,C00070,2026-02-12,Beauty,1017.18,0.0,1017.18,Completed
O000357,C00070,2026-05-13,Sports,1904.92,0.0,1904.92,Completed
O000358,C00070,2026-03-28,Electronics,7732.45,0.1,6959.2,Completed
O000359,C00070,2026-04-09,Electronics,7549.74,0.05,7172.25,Completed
O000360,C00070,2026-04-24,Grocery,1309.8,0.2,1047.84,Completed
O000361,C00071,2026-02-24,Grocery,739.31,0.05,702.34,Completed
O000362,C00071,2026-02-04,Beauty,1757.46,0.1,1581.71,Completed
O000363,C00071,2026-06-10,Sports,3463.11,0.0,3463.11,Returned
O000364,C00071,2026-04-29,Electronics,3812.03,0.05,3621.43,Completed
O000365,C00071,2026-06-03,Beauty,1916.84,0.05,1821.0,Returned
O000366,C00072,2025-02-20,Sports,2172.26,0.15,1846.42,Completed
O000367,C00072,2026-04-11,Sports,2224.25,0.1,2001.82,Completed
O000368,C00073,2025-05-31,Sports,2731.36,0.05,2594.79,Completed
O000369,C00073,2025-10-09,Sports,1832.05,0.05,1740.45,Completed
O000370,C00074,2025-12-23,Sports,1335.49,0.1,1201.94,Completed
O000371,C00074,2026-01-04,Grocery,635.55,0.1,572.0,Completed
O000372,C00074,2026-02-21,Grocery,1283.35,0.05,1219.18,Completed
O000373,C00075,2026-06-02,Sports,1619.53,0.05,1538.55,Completed
O000374,C00075,2026-04-14,Grocery,1020.54,0.15,867.46,Completed
O000375,C00075,2025-10-24,Beauty,1600.62,0.0,1600.62,Completed
